run,epsilon,gamma,round,accuracy
2,4,0,31,0.957
2,4,0,32,0.9559
2,4,0,33,0.9551
2,4,0,34,0.9582
2,4,0,35,0.9597
2,4,0,36,0.9582
2,4,0,37,0.9608
2,4,0,38,0.9607
2,4,0,39,0.9609
2,4,0,40,0.9593
2,4,0,41,0.9609
2,4,0,42,0.9613
2,4,0,43,0.9618
2,4,0,44,0.9602
2,4,0,45,0.9611
2,4,0,46,0.9614
2,4,0,47,0.9614
2,4,0,48,0.9618
2,4,0,49,0.962
2,4,0,50,0.9627
2,4,0,51,0.9615
3,4,0,1,0.1062
3,4,0,2,0.7395
3,4,0,3,0.8806
3,4,0,4,0.8888
3,4,0,5,0.9035
3,4,0,6,0.9133
3,4,0,7,0.9156
3,4,0,8,0.9217
3,4,0,9,0.9277
3,4,0,10,0.9312
3,4,0,11,0.9313
3,4,0,12,0.9366
3,4,0,13,0.9374
3,4,0,14,0.9403
3,4,0,15,0.9444
3,4,0,16,0.948
3,4,0,17,0.9475
3,4,0,18,0.9504
3,4,0,19,0.9515
3,4,0,20,0.9554
3,4,0,21,0.9513
3,4,0,22,0.9547
3,4,0,23,0.9539
3,4,0,24,0.9569
3,4,0,25,0.95
3,4,0,26,0.9573
3,4,0,27,0.9573
3,4,0,28,0.9577
3,4,0,29,0.9583
3,4,0,30,0.9575
3,4,0,31,0.9621
3,4,0,32,0.9584
3,4,0,33,0.9613
3,4,0,34,0.9601
3,4,0,35,0.9617
3,4,0,36,0.9598
3,4,0,37,0.9625
3,4,0,38,0.9635
3,4,0,39,0.9635
3,4,0,40,0.9638
3,4,0,41,0.963
3,4,0,42,0.9633
3,4,0,43,0.9656
3,4,0,44,0.9645
3,4,0,45,0.9638
3,4,0,46,0.9665
3,4,0,47,0.9649
3,4,0,48,0.965
3,4,0,49,0.9631
3,4,0,50,0.9637
3,4,0,51,0.9659
