run,epsilon,gamma,round,accuracy,detection_accuracy
1,4,0.004,11,0.9235,1.0
1,4,0.004,12,0.9316,1.0
1,4,0.004,13,0.9364,0.8
1,4,0.004,14,0.9394,0.6
1,4,0.004,15,0.9421,0.6
1,4,0.004,16,0.9441,0.8
1,4,0.004,17,0.9455,0.4
1,4,0.004,18,0.9476,0.8
1,4,0.004,19,0.9455,0.4
2,4,0.004,1,0.082,0.8
2,4,0.004,2,0.5775,0.8
2,4,0.004,3,0.7821,0.8
2,4,0.004,4,0.8224,0.8
2,4,0.004,5,0.8354,0.6
2,4,0.004,6,0.8416,0.6
2,4,0.004,7,0.8434,0.6
2,4,0.004,8,0.8505,0.4
2,4,0.004,9,0.8474,0.8
2,4,0.004,10,0.8571,0.8
2,4,0.004,11,0.8588,0.8
2,4,0.004,12,0.8615,0.6
2,4,0.004,13,0.8617,0.4
2,4,0.004,14,0.8618,0.4
2,4,0.004,15,0.8621,1.0
2,4,0.004,16,0.8622,0.8
2,4,0.004,17,0.8674,1.0
2,4,0.004,18,0.8695,0.6
2,4,0.004,19,0.8695,0.4
3,4,0.004,1,0.0874,0.6
3,4,0.004,2,0.6748,0.8
3,4,0.004,3,0.8378,0.4
3,4,0.004,4,0.8938,0.4
3,4,0.004,5,0.895,0.8
3,4,0.004,6,0.9122,0.4
3,4,0.004,7,0.9205,0.8
3,4,0.004,8,0.9204,0.6
3,4,0.004,9,0.9253,0.4
3,4,0.004,10,0.932,0.2
3,4,0.004,11,0.9313,0.6
3,4,0.004,12,0.9342,0.8
3,4,0.004,13,0.9389,0.6
3,4,0.004,14,0.9419,0.6
3,4,0.004,15,0.9412,0.6
3,4,0.004,16,0.9442,0.8
3,4,0.004,17,0.9469,0.2
3,4,0.004,18,0.9409,0.8
3,4,0.004,19,0.949,0.8
4,4,0.004,1,0.0851,0.8
4,4,0.004,2,0.5196,0.8
4,4,0.004,3,0.7998,0.8
4,4,0.004,4,0.8889,0.6
4,4,0.004,5,0.9113,0.6
4,4,0.004,6,0.9091,1.0
4,4,0.004,7,0.9147,0.4
4,4,0.004,8,0.9212,0.6
4,4,0.004,9,0.9262,0.6
4,4,0.004,10,0.9296,1.0
4,4,0.004,11,0.9317,0.8
4,4,0.004,12,0.936,0.4
4,4,0.004,13,0.9319,0.4
4,4,0.004,14,0.9386,0.4
4,4,0.004,15,0.9383,0.6
4,4,0.004,16,0.934,0.4
4,4,0.004,17,0.9368,0.8
4,4,0.004,18,0.9417,0.6
4,4,0.004,19,0.9447,0.6
5,4,0.004,1,0.1104,0.6
5,4,0.004,2,0.6352,0.6
5,4,0.004,3,0.8455,0.6
5,4,0.004,4,0.8872,0.8
5,4,0.004,5,0.9053,0.8
5,4,0.004,6,0.914,0.6
5,4,0.004,7,0.9103,0.8
5,4,0.004,8,0.9235,0.8
5,4,0.004,9,0.9288,0.6
5,4,0.004,10,0.9308,0.4
5,4,0.004,11,0.933,0.8
5,4,0.004,12,0.934,0.8
5,4,0.004,13,0.938,0.8
5,4,0.004,14,0.9427,0.8
5,4,0.004,15,0.9445,0.4
5,4,0.004,16,0.9392,0.8
5,4,0.004,17,0.945,0.8
5,4,0.004,18,0.9477,0.6
5,4,0.004,19,0.9484,0.8
1,4,0.006,1,0.1143,0.8
1,4,0.006,2,0.4958,0.8
1,4,0.006,3,0.6673,1.0
1,4,0.006,4,0.755,1.0
1,4,0.006,5,0.7907,0.8
1,4,0.006,6,0.7962,0.6
1,4,0.006,7,0.8033,0.8
1,4,0.006,8,0.8103,0.8
1,4,0.006,9,0.8152,1.0
1,4,0.006,10,0.8217,1.0
1,4,0.006,11,0.8221,0.8
1,4,0.006,12,0.827,1.0
1,4,0.006,13,0.8282,0.8
1,4,0.006,14,0.8305,1.0
1,4,0.006,15,0.8314,0.8
1,4,0.006,16,0.8308,1.0
1,4,0.006,17,0.8344,1.0
1,4,0.006,18,0.9348,1.0
1,4,0.006,19,0.9425,1.0
2,4,0.006,1,0.0921,0.8
2,4,0.006,2,0.5364,0.8
2,4,0.006,3,0.7293,1.0
2,4,0.006,4,0.7413,1.0
2,4,0.006,5,0.7525,0.8
2,4,0.006,6,0.7572,0.8
2,4,0.006,7,0.8181,1.0
2,4,0.006,8,0.8265,0.8
2,4,0.006,9,0.8972,1.0
2,4,0.006,10,0.9187,1.0
2,4,0.006,11,0.9234,0.8
2,4,0.006,12,0.9219,1.0
2,4,0.006,13,0.933,1.0
2,4,0.006,14,0.9341,1.0
2,4,0.006,15,0.9363,1.0
2,4,0.006,16,0.9384,1.0
2,4,0.006,17,0.9438,1.0
2,4,0.006,18,0.9439,0.8
2,4,0.006,19,0.9474,0.8
3,4,0.006,1,0.0958,1.0
3,4,0.006,2,0.396,1.0
3,4,0.006,3,0.7548,0.6
3,4,0.006,4,0.8036,0.8
3,4,0.006,5,0.817,1.0
3,4,0.006,6,0.828,1.0
3,4,0.006,7,0.8336,1.0
3,4,0.006,8,0.8367,0.8
3,4,0.006,9,0.8392,1.0
3,4,0.006,10,0.8436,0.8
3,4,0.006,11,0.8425,0.8
3,4,0.006,12,0.8495,1.0
3,4,0.006,13,0.851,1.0
3,4,0.006,14,0.8527,1.0
3,4,0.006,15,0.8544,0.8
3,4,0.006,16,0.8551,1.0
3,4,0.006,17,0.8531,0.8
3,4,0.006,18,0.8561,1.0
3,4,0.006,19,0.8582,1.0
4,4,0.006,1,0.104,1.0
4,4,0.006,2,0.4492,1.0
4,4,0.006,3,0.6759,0.8
4,4,0.006,4,0.7093,0.8
4,4,0.006,5,0.7132,1.0
4,4,0.006,6,0.7156,1.0
4,4,0.006,7,0.7197,0.8
4,4,0.006,8,0.7281,1.0
4,4,0.006,9,0.729,0.8
4,4,0.006,10,0.8146,1.0
4,4,0.006,11,0.8162,0.8
4,4,0.006,12,0.826,0.8
4,4,0.006,13,0.8246,1.0
4,4,0.006,14,0.8288,0.8
4,4,0.006,15,0.8298,0.8
4,4,0.006,16,0.8299,0.8
4,4,0.006,17,0.833,1.0
4,4,0.006,18,0.8344,1.0
4,4,0.006,19,0.8336,0.8
5,4,0.006,1,0.1022,1.0
5,4,0.006,2,0.5062,1.0
5,4,0.006,3,0.7509,0.8
5,4,0.006,4,0.8061,0.6
5,4,0.006,5,0.8176,1.0
5,4,0.006,6,0.8284,1.0
5,4,0.006,7,0.8305,1.0
5,4,0.006,8,0.8341,1.0
5,4,0.006,9,0.9084,0.8
5,4,0.006,10,0.9248,0.6
5,4,0.006,11,0.9302,1.0
5,4,0.006,12,0.9353,0.8
5,4,0.006,13,0.9327,0.8
5,4,0.006,14,0.9393,1.0
5,4,0.006,15,0.9425,1.0
5,4,0.006,16,0.9437,0.8
5,4,0.006,17,0.9456,0.8
5,4,0.006,18,0.9485,1.0
5,4,0.006,19,0.9482,1.0
1,8,0,1,0.1003,0.2
1,8,0,2,0.6933,0.2
1,8,0,3,0.7279,0.2
1,8,0,4,0.7448,0.2
1,8,0,5,0.7519,0.2
1,8,0,6,0.7539,0.2
1,8,0,7,0.7555,0.0
1,8,0,8,0.8486,0.2
1,8,0,9,0.9118,0.0
1,8,0,10,0.9203,0.2
1,8,0,11,0.9273,0.0
1,8,0,12,0.9284,0.0
1,8,0,13,0.9317,0.2
1,8,0,14,0.9369,0.0
1,8,0,15,0.9408,0.0
1,8,0,16,0.9407,0.2
1,8,0,17,0.9431,0.2
1,8,0,18,0.9444,0.6
1,8,0,19,0.9484,0.4
1,8,0,20,0.9482,0.0
1,8,0,21,0.9502,0.0
1,8,0,22,0.9504,0.0
1,8,0,23,0.9522,0.4
1,8,0,24,0.9515,0.2
1,8,0,25,0.9548,0.2
1,8,0,26,0.9543,0.0
1,8,0,27,0.9551,0.2
1,8,0,28,0.9565,0.0
1,8,0,29,0.9566,0.0
1,8,0,30,0.959,0.0
1,8,0,31,0.9576,0.0
1,8,0,32,0.9608,0.2
1,8,0,33,0.9584,0.0
2,8,0,1,0.0875,0.2
2,8,0,2,0.586,0.2
2,8,0,3,0.7515,0.2
2,8,0,4,0.8308,0.0
2,8,0,5,0.9022,0.2
2,8,0,6,0.9098,0.2
2,8,0,7,0.9162,0.4
2,8,0,8,0.9214,0.4
2,8,0,9,0.9242,0.0
2,8,0,10,0.9261,0.0
2,8,0,11,0.931,0.2
2,8,0,12,0.9351,0.0
2,8,0,13,0.9327,0.4
2,8,0,14,0.9403,0.2
2,8,0,15,0.9401,0.0
2,8,0,16,0.9412,0.0
2,8,0,17,0.9459,0.2
2,8,0,18,0.9473,0.2
2,8,0,19,0.9505,0.2
2,8,0,20,0.9492,0.4
2,8,0,21,0.9514,0.0
2,8,0,22,0.954,0.4
2,8,0,23,0.9554,0.2
2,8,0,24,0.956,0.0
2,8,0,25,0.9563,0.2
2,8,0,26,0.9573,0.0
2,8,0,27,0.9585,0.0
2,8,0,28,0.9583,0.2
2,8,0,29,0.9594,0.4
2,8,0,30,0.9606,0.2
2,8,0,31,0.9605,0.2
2,8,0,32,0.962,0.2
2,8,0,33,0.962,0.0
3,8,0,1,0.1043,0.2
3,8,0,2,0.4327,0.2
3,8,0,3,0.8605,0.0
3,8,0,4,0.8905,0.2
3,8,0,5,0.9033,0.0
3,8,0,6,0.9163,0.0
3,8,0,7,0.9207,0.0
3,8,0,8,0.9197,0.0
3,8,0,9,0.9277,0.2
3,8,0,10,0.9312,0.0
3,8,0,11,0.9323,0.0
3,8,0,12,0.9351,0.0
3,8,0,13,0.9407,0.2
3,8,0,14,0.9398,0.2
3,8,0,15,0.9446,0.0
3,8,0,16,0.9461,0.0
3,8,0,17,0.9485,0.2
3,8,0,18,0.949,0.4
3,8,0,19,0.9474,0.2
3,8,0,20,0.9528,0.2
3,8,0,21,0.9522,0.0
3,8,0,22,0.9514,0.0
3,8,0,23,0.9546,0.0
3,8,0,24,0.9568,0.2
3,8,0,25,0.9572,0.4
3,8,0,26,0.9577,0.0
3,8,0,27,0.9603,0.0
3,8,0,28,0.9583,0.0
3,8,0,29,0.9584,0.2
3,8,0,30,0.9606,0.2
3,8,0,31,0.9609,0.0
3,8,0,32,0.9621,0.0
3,8,0,33,0.9614,0.4
4,8,0,1,0.0934,0.2
4,8,0,2,0.4348,0.2
4,8,0,3,0.5489,0.4
4,8,0,4,0.6547,0.0
4,8,0,5,0.6776,0.0
4,8,0,6,0.6909,0.2
4,8,0,7,0.7032,0.2
4,8,0,8,0.7288,0.0
4,8,0,9,0.7973,0.2
4,8,0,10,0.8088,0.2
4,8,0,11,0.8145,0.2
4,8,0,12,0.8156,0.2
4,8,0,13,0.8185,0.0
4,8,0,14,0.8221,0.2
4,8,0,15,0.8273,0.4
4,8,0,16,0.936,0.2
4,8,0,17,0.9394,0.2
4,8,0,18,0.9405,0.2
4,8,0,19,0.9436,0.2
4,8,0,20,0.9451,0.0
4,8,0,21,0.9459,0.0
4,8,0,22,0.9492,0.0
4,8,0,23,0.9487,0.4
4,8,0,24,0.9523,0.0
4,8,0,25,0.9531,0.0
4,8,0,26,0.9546,0.2
4,8,0,27,0.9549,0.2
4,8,0,28,0.9572,0.0
4,8,0,29,0.9563,0.0
4,8,0,30,0.959,0.0
4,8,0,31,0.9571,0.4
4,8,0,32,0.9583,0.0
4,8,0,33,0.9603,0.2
5,8,0,1,0.0965,0.2
5,8,0,2,0.5995,0.4
5,8,0,3,0.7412,0.2
5,8,0,4,0.7562,0.2
5,8,0,5,0.7602,0.6
5,8,0,6,0.7625,0.2
5,8,0,7,0.7627,0.4
5,8,0,8,0.7687,0.2
5,8,0,9,0.7691,0.0
5,8,0,10,0.7694,0.2
5,8,0,11,0.7689,0.0
5,8,0,12,0.7725,0.2
5,8,0,13,0.7743,0.2
5,8,0,14,0.7763,0.0
5,8,0,15,0.7723,0.0
5,8,0,16,0.7771,0.0
5,8,0,17,0.7767,0.0
5,8,0,18,0.7786,0.4
5,8,0,19,0.7784,0.0
5,8,0,20,0.7806,0.0
5,8,0,21,0.7811,0.2
5,8,0,22,0.7802,0.2
5,8,0,23,0.7825,0.6
5,8,0,24,0.7821,0.4
5,8,0,25,0.7828,0.4
5,8,0,26,0.7838,0.0
5,8,0,27,0.7834,0.2
5,8,0,28,0.7844,0.2
5,8,0,29,0.7837,0.2
5,8,0,30,0.7846,0.2
5,8,0,31,0.7854,0.0
5,8,0,32,0.7847,0.0
5,8,0,33,0.7845,0.0
1,8,0.002,1,0.0985,0.4
1,8,0.002,2,0.4996,0.6
1,8,0.002,3,0.631,0.4
1,8,0.002,4,0.7252,0.2
1,8,0.002,5,0.7342,0.0
1,8,0.002,6,0.7383,0.6
1,8,0.002,7,0.7426,0.2
1,8,0.002,8,0.7482,0.4
1,8,0.002,9,0.8313,0.0
1,8,0.002,10,0.8377,0.4
1,8,0.002,11,0.8448,0.2
1,8,0.002,12,0.9258,0.6
1,8,0.002,13,0.9353,0.4
1,8,0.002,14,0.9374,0.2
1,8,0.002,15,0.9428,0.8
1,8,0.002,16,0.9423,0.4
1,8,0.002,17,0.9473,0.4
1,8,0.002,18,0.9487,0.2
1,8,0.002,19,0.9483,0.2
1,8,0.002,20,0.9493,0.2
1,8,0.002,21,0.9514,0.6
1,8,0.002,22,0.9546,0.4
1,8,0.002,23,0.9562,0.2
1,8,0.002,24,0.9565,0.6
1,8,0.002,25,0.9566,0.2
1,8,0.002,26,0.9543,0.0
1,8,0.002,27,0.9522,0.6
1,8,0.002,28,0.9545,0.6
1,8,0.002,29,0.9564,0.6
1,8,0.002,30,0.9592,0.8
1,8,0.002,31,0.9602,0.4
1,8,0.002,32,0.9608,0.4
1,8,0.002,33,0.9594,0.6
2,8,0.002,1,0.0845,0.2
2,8,0.002,2,0.6829,0.0
2,8,0.002,3,0.8466,0.6
2,8,0.002,4,0.8943,0.6
2,8,0.002,5,0.9042,0.4
2,8,0.002,6,0.9131,0.4
2,8,0.002,7,0.9184,0.4
2,8,0.002,8,0.9237,0.6
2,8,0.002,9,0.9302,0.2
2,8,0.002,10,0.933,0.8
2,8,0.002,11,0.9359,0.4
2,8,0.002,12,0.9388,0.2
2,8,0.002,13,0.9431,0.2
2,8,0.002,14,0.941,0.4
2,8,0.002,15,0.9448,0.0
2,8,0.002,16,0.946,0.0
2,8,0.002,17,0.9481,0.4
2,8,0.002,18,0.9476,0.6
2,8,0.002,19,0.9469,0.0
2,8,0.002,20,0.9521,0.4
2,8,0.002,21,0.9548,0.4
2,8,0.002,22,0.9551,0.2
2,8,0.002,23,0.9571,0.6
2,8,0.002,24,0.9588,0.4
2,8,0.002,25,0.9592,0.8
2,8,0.002,26,0.9572,0.4
2,8,0.002,27,0.9596,0.6
2,8,0.002,28,0.9608,0.4
2,8,0.002,29,0.96,0.8
2,8,0.002,30,0.961,0.0
2,8,0.002,31,0.9609,0.4
2,8,0.002,32,0.9619,0.2
2,8,0.002,33,0.9618,0.2
3,8,0.002,1,0.1055,0.4
3,8,0.002,2,0.6148,0.6
3,8,0.002,3,0.8433,0.2
3,8,0.002,4,0.893,0.4
3,8,0.002,5,0.9067,0.4
3,8,0.002,6,0.9138,0.0
3,8,0.002,7,0.9186,0.6
3,8,0.002,8,0.9263,0.4
3,8,0.002,9,0.9311,0.4
3,8,0.002,10,0.9332,0.4
3,8,0.002,11,0.9354,0.4
3,8,0.002,12,0.9376,0.8
3,8,0.002,13,0.9406,0.6
3,8,0.002,14,0.9427,0.4
3,8,0.002,15,0.9437,0.4
3,8,0.002,16,0.9458,0.8
3,8,0.002,17,0.9479,0.4
3,8,0.002,18,0.9503,0.2
3,8,0.002,19,0.9481,0.4
3,8,0.002,20,0.9485,0.2
3,8,0.002,21,0.9522,0.4
3,8,0.002,22,0.9525,0.0
3,8,0.002,23,0.9526,0.2
3,8,0.002,24,0.9527,0.4
3,8,0.002,25,0.9541,0.4
3,8,0.002,26,0.9572,0.2
3,8,0.002,27,0.9541,0.6
3,8,0.002,28,0.9562,0.4
3,8,0.002,29,0.9579,0.4
3,8,0.002,30,0.9562,0.2
3,8,0.002,31,0.9578,0.2
3,8,0.002,32,0.9552,0.8
3,8,0.002,33,0.9589,0.2
4,8,0.002,1,0.1352,0.0
4,8,0.002,2,0.6959,0.6
4,8,0.002,3,0.8782,0.4
4,8,0.002,4,0.8908,0.6
4,8,0.002,5,0.9061,0.4
4,8,0.002,6,0.9195,0.2
4,8,0.002,7,0.9212,0.4
4,8,0.002,8,0.9241,0.0
4,8,0.002,9,0.9288,0.6
4,8,0.002,10,0.9319,0.6
4,8,0.002,11,0.9366,0.6
4,8,0.002,12,0.9384,0.4
4,8,0.002,13,0.9431,0.2
4,8,0.002,14,0.9462,0.6
4,8,0.002,15,0.9437,0.2
4,8,0.002,16,0.9459,0.4
4,8,0.002,17,0.947,0.2
4,8,0.002,18,0.9506,0.4
4,8,0.002,19,0.9506,0.2
4,8,0.002,20,0.9544,0.2
4,8,0.002,21,0.9553,0.6
4,8,0.002,22,0.9553,0.2
4,8,0.002,23,0.9556,0.6
4,8,0.002,24,0.9537,0.4
4,8,0.002,25,0.9568,0.6
4,8,0.002,26,0.9586,0.2
4,8,0.002,27,0.9585,0.6
4,8,0.002,28,0.9599,0.8
4,8,0.002,29,0.9584,0.4
4,8,0.002,30,0.9607,0.6
4,8,0.002,31,0.9598,0.4
4,8,0.002,32,0.9602,0.6
4,8,0.002,33,0.9628,0.6
5,8,0.002,1,0.1216,0.2
5,8,0.002,2,0.6669,0.8
5,8,0.002,3,0.8504,0.2
5,8,0.002,4,0.8936,0.2
5,8,0.002,5,0.9025,0.4
5,8,0.002,6,0.9142,0.4
5,8,0.002,7,0.9214,0.4
5,8,0.002,8,0.9256,0.6
5,8,0.002,9,0.9298,0.4
5,8,0.002,10,0.9331,0.4
5,8,0.002,11,0.9394,0.6
5,8,0.002,12,0.9406,0.4
5,8,0.002,13,0.9451,0.4
5,8,0.002,14,0.9452,0.4
5,8,0.002,15,0.9484,0.0
5,8,0.002,16,0.9521,0.6
5,8,0.002,17,0.9511,0.2
5,8,0.002,18,0.9538,0.6
5,8,0.002,19,0.9519,0.2
5,8,0.002,20,0.9539,0.6
5,8,0.002,21,0.9561,0.4
5,8,0.002,22,0.9571,0.4
5,8,0.002,23,0.9575,0.6
5,8,0.002,24,0.9586,0.0
5,8,0.002,25,0.9574,0.0
5,8,0.002,26,0.9573,0.6
5,8,0.002,27,0.9559,0.4
5,8,0.002,28,0.9576,0.0
5,8,0.002,29,0.959,0.4
5,8,0.002,30,0.9576,0.4
5,8,0.002,31,0.9616,0.0
5,8,0.002,32,0.9598,0.2
5,8,0.002,33,0.9596,0.4
1,8,0.004,1,0.1097,0.6
1,8,0.004,2,0.5575,0.6
1,8,0.004,3,0.7183,0.6
1,8,0.004,4,0.7915,0.6
1,8,0.004,5,0.8781,0.8
1,8,0.004,6,0.9096,0.6
1,8,0.004,7,0.9157,0.6
1,8,0.004,8,0.9194,0.6
1,8,0.004,9,0.9262,0.6
1,8,0.004,10,0.9312,1.0
1,8,0.004,11,0.9301,0.8
1,8,0.004,12,0.9334,0.8
1,8,0.004,13,0.9398,0.8
1,8,0.004,14,0.9428,0.6
1,8,0.004,15,0.9428,0.8
1,8,0.004,16,0.9439,0.6
1,8,0.004,17,0.9481,0.6
1,8,0.004,18,0.9507,0.6
1,8,0.004,19,0.9493,0.6
1,8,0.004,20,0.9518,0.6
1,8,0.004,21,0.9541,0.6
1,8,0.004,22,0.9532,0.6
1,8,0.004,23,0.9559,0.8
1,8,0.004,24,0.9564,0.8
1,8,0.004,25,0.9555,0.8
1,8,0.004,26,0.9576,0.6
1,8,0.004,27,0.9595,0.4
1,8,0.004,28,0.9588,0.6
1,8,0.004,29,0.9581,0.6
1,8,0.004,30,0.9604,0.8
1,8,0.004,31,0.9602,0.4
1,8,0.004,32,0.9595,0.6
1,8,0.004,33,0.962,0.6
2,8,0.004,1,0.0712,0.2
2,8,0.004,2,0.4737,0.8
2,8,0.004,3,0.7052,0.4
2,8,0.004,4,0.7646,0.8
2,8,0.004,5,0.7997,0.4
2,8,0.004,6,0.8031,0.8
2,8,0.004,7,0.8138,0.6
2,8,0.004,8,0.824,0.6
2,8,0.004,9,0.8216,0.4
2,8,0.004,10,0.8284,0.8
2,8,0.004,11,0.8299,0.8
2,8,0.004,12,0.8426,0.8
2,8,0.004,13,0.8455,0.8
2,8,0.004,14,0.8458,0.2
2,8,0.004,15,0.8491,0.8
2,8,0.004,16,0.8519,0.8
2,8,0.004,17,0.851,0.6
2,8,0.004,18,0.8541,0.6
2,8,0.004,19,0.8564,0.8
2,8,0.004,20,0.8557,0.8
2,8,0.004,21,0.8585,0.8
2,8,0.004,22,0.8601,0.8
2,8,0.004,23,0.8613,0.8
2,8,0.004,24,0.8619,0.8
2,8,0.004,25,0.8594,0.8
2,8,0.004,26,0.8635,1.0
2,8,0.004,27,0.8646,0.8
2,8,0.004,28,0.8657,0.6
2,8,0.004,29,0.8642,0.6
2,8,0.004,30,0.8669,0.6
2,8,0.004,31,0.8658,1.0
2,8,0.004,32,0.8661,0.8
2,8,0.004,33,0.8647,0.6
3,8,0.004,1,0.1153,0.6
3,8,0.004,2,0.6797,0.4
3,8,0.004,3,0.7701,0.8
3,8,0.004,4,0.8088,0.6
3,8,0.004,5,0.8167,0.8
3,8,0.004,6,0.8235,0.2
3,8,0.004,7,0.8309,1.0
3,8,0.004,8,0.8342,0.8
3,8,0.004,9,0.8386,0.6
3,8,0.004,10,0.8401,0.2
3,8,0.004,11,0.8446,0.8
3,8,0.004,12,0.8603,0.8
3,8,0.004,13,0.9357,0.8
3,8,0.004,14,0.9431,0.6
3,8,0.004,15,0.9409,0.8
3,8,0.004,16,0.9469,0.6
3,8,0.004,17,0.9474,0.8
3,8,0.004,18,0.9496,0.8
3,8,0.004,19,0.9513,0.6
3,8,0.004,20,0.9541,0.8
3,8,0.004,21,0.9529,0.8
3,8,0.004,22,0.9551,0.8
3,8,0.004,23,0.9552,0.8
3,8,0.004,24,0.9551,1.0
3,8,0.004,25,0.958,0.6
3,8,0.004,26,0.9592,0.4
3,8,0.004,27,0.9607,0.6
3,8,0.004,28,0.9621,0.6
3,8,0.004,29,0.9603,0.4
3,8,0.004,30,0.9606,0.6
3,8,0.004,31,0.9618,0.8
3,8,0.004,32,0.9612,0.6
3,8,0.004,33,0.9627,0.6
4,8,0.004,1,0.1265,0.8
4,8,0.004,2,0.5054,0.6
4,8,0.004,3,0.6784,0.6
4,8,0.004,4,0.804,0.8
4,8,0.004,5,0.8922,0.8
4,8,0.004,6,0.914,0.6
4,8,0.004,7,0.9187,0.4
4,8,0.004,8,0.9212,0.8
4,8,0.004,9,0.9277,0.8
4,8,0.004,10,0.9311,1.0
4,8,0.004,11,0.9354,0.8
4,8,0.004,12,0.9367,0.6
4,8,0.004,13,0.9388,0.6
4,8,0.004,14,0.9424,0.8
4,8,0.004,15,0.9448,0.6
4,8,0.004,16,0.9469,0.4
4,8,0.004,17,0.9464,0.4
4,8,0.004,18,0.9484,0.6
4,8,0.004,19,0.9515,0.0
4,8,0.004,20,0.9502,0.6
4,8,0.004,21,0.9484,0.4
4,8,0.004,22,0.9525,0.8
4,8,0.004,23,0.9536,1.0
4,8,0.004,24,0.9573,0.8
4,8,0.004,25,0.9564,0.8
4,8,0.004,26,0.9573,0.6
4,8,0.004,27,0.9569,0.2
4,8,0.004,28,0.9561,0.8
4,8,0.004,29,0.9561,0.6
4,8,0.004,30,0.9581,0.6
4,8,0.004,31,0.9604,0.8
4,8,0.004,32,0.9598,0.4
4,8,0.004,33,0.9603,0.8
5,8,0.004,1,0.0786,1.0
5,8,0.004,2,0.5461,0.8
5,8,0.004,3,0.6307,0.4
5,8,0.004,4,0.6782,0.2
5,8,0.004,5,0.7059,0.8
5,8,0.004,6,0.8481,0.6
5,8,0.004,7,0.9119,0.4
5,8,0.004,8,0.9152,0.4
5,8,0.004,9,0.9278,0.8
5,8,0.004,10,0.9328,0.8
5,8,0.004,11,0.9329,0.8
5,8,0.004,12,0.9392,0.6
5,8,0.004,13,0.9424,0.8
5,8,0.004,14,0.9448,0.8
5,8,0.004,15,0.9439,0.6
5,8,0.004,16,0.9501,0.8
5,8,0.004,17,0.9496,0.8
5,8,0.004,18,0.9507,0.8
5,8,0.004,19,0.9527,0.6
5,8,0.004,20,0.9534,0.8
5,8,0.004,21,0.9555,0.6
5,8,0.004,22,0.9574,0.4
5,8,0.004,23,0.9585,0.8
5,8,0.004,24,0.9584,0.6
5,8,0.004,25,0.9602,0.8
5,8,0.004,26,0.9605,0.4
5,8,0.004,27,0.9582,0.6
5,8,0.004,28,0.9604,0.6
5,8,0.004,29,0.9628,0.8
5,8,0.004,30,0.9627,0.6
5,8,0.004,31,0.9638,0.6
5,8,0.004,32,0.9625,0.8
5,8,0.004,33,0.9627,0.8
1,8,0.006,1,0.1016,0.8
1,8,0.006,2,0.5805,1.0
1,8,0.006,3,0.7536,0.8
1,8,0.006,4,0.7969,1.0
1,8,0.006,5,0.8193,1.0
1,8,0.006,6,0.8216,0.6
1,8,0.006,7,0.8245,0.8
1,8,0.006,8,0.8277,0.8
1,8,0.006,9,0.8326,0.8
1,8,0.006,10,0.8361,0.8
1,8,0.006,11,0.8387,0.8
1,8,0.006,12,0.8401,1.0
1,8,0.006,13,0.8413,1.0
1,8,0.006,14,0.8473,1.0
1,8,0.006,15,0.9384,1.0
1,8,0.006,16,0.939,1.0
1,8,0.006,17,0.9427,1.0
1,8,0.006,18,0.943,0.8
1,8,0.006,19,0.9472,0.8
1,8,0.006,20,0.949,1.0
1,8,0.006,21,0.9483,0.8
1,8,0.006,22,0.9498,1.0
1,8,0.006,23,0.9495,1.0
1,8,0.006,24,0.9521,1.0
1,8,0.006,25,0.9508,1.0
1,8,0.006,26,0.9542,0.6
1,8,0.006,27,0.9534,0.8
1,8,0.006,28,0.9553,1.0
1,8,0.006,29,0.9563,1.0
1,8,0.006,30,0.956,0.4
1,8,0.006,31,0.9553,0.4
1,8,0.006,32,0.9571,1.0
1,8,0.006,33,0.9606,0.8
2,8,0.006,1,0.1152,0.8
2,8,0.006,2,0.6125,1.0
2,8,0.006,3,0.7812,0.8
2,8,0.006,4,0.817,1.0
2,8,0.006,5,0.8336,1.0
2,8,0.006,6,0.8604,0.8
2,8,0.006,7,0.8946,1.0
2,8,0.006,8,0.9006,1.0
2,8,0.006,9,0.9138,1.0
2,8,0.006,10,0.9147,1.0
2,8,0.006,11,0.9207,1.0
2,8,0.006,12,0.9237,1.0
2,8,0.006,13,0.9241,0.8
2,8,0.006,14,0.9302,0.6
2,8,0.006,15,0.9325,0.8
2,8,0.006,16,0.9387,1.0
2,8,0.006,17,0.9389,0.8
2,8,0.006,18,0.9335,0.6
2,8,0.006,19,0.9417,1.0
2,8,0.006,20,0.9438,1.0
2,8,0.006,21,0.9457,1.0
2,8,0.006,22,0.9459,0.8
2,8,0.006,23,0.949,1.0
2,8,0.006,24,0.9519,0.8
2,8,0.006,25,0.9521,1.0
2,8,0.006,26,0.9481,1.0
2,8,0.006,27,0.9518,1.0
2,8,0.006,28,0.9546,1.0
2,8,0.006,29,0.9542,0.6
2,8,0.006,30,0.9512,0.8
2,8,0.006,31,0.9535,1.0
2,8,0.006,32,0.9554,0.8
2,8,0.006,33,0.9561,1.0
3,8,0.006,1,0.038,0.8
3,8,0.006,2,0.4543,0.8
3,8,0.006,3,0.6019,0.8
3,8,0.006,4,0.7769,1.0
3,8,0.006,5,0.7978,1.0
3,8,0.006,6,0.8007,1.0
3,8,0.006,7,0.8108,0.8
3,8,0.006,8,0.8101,0.8
3,8,0.006,9,0.8156,1.0
3,8,0.006,10,0.8214,1.0
3,8,0.006,11,0.8241,0.8
3,8,0.006,12,0.8255,1.0
3,8,0.006,13,0.8307,1.0
3,8,0.006,14,0.8321,1.0
