run,epsilon,gamma,round,accuracy,detection_accuracy
2,1,0.004,1,0.1067,0.6
2,1,0.004,2,0.3128,0.0
2,1,0.004,3,0.51,0.8
2,1,0.004,4,0.5427,0.6
2,1,0.004,5,0.7645,0.6
2,1,0.004,6,0.7987,0.4
2,1,0.004,7,0.7597,0.8
2,1,0.004,8,0.8266,0.6
2,1,0.004,9,0.8675,0.6
2,1,0.004,10,0.8208,0.8
2,1,0.004,11,0.8677,0.4
2,1,0.004,12,0.8745,0.6
2,1,0.004,13,0.8543,0.6
2,1,0.004,14,0.8666,0.6
3,1,0.004,1,0.1038,0.4
3,1,0.004,2,0.24,0.6
3,1,0.004,3,0.4678,0.6
3,1,0.004,4,0.5729,0.6
3,1,0.004,5,0.7771,0.8
3,1,0.004,6,0.7595,0.8
3,1,0.004,7,0.8406,0.8
3,1,0.004,8,0.8276,0.4
3,1,0.004,9,0.8546,0.6
3,1,0.004,10,0.7899,1.0
3,1,0.004,11,0.8731,0.8
3,1,0.004,12,0.8721,0.8
3,1,0.004,13,0.8905,0.8
3,1,0.004,14,0.8653,1.0
4,1,0.004,1,0.0914,1.0
4,1,0.004,2,0.2204,0.6
4,1,0.004,3,0.4896,0.6
4,1,0.004,4,0.6971,0.8
4,1,0.004,5,0.7475,0.8
4,1,0.004,6,0.8125,0.0
4,1,0.004,7,0.7778,0.8
4,1,0.004,8,0.7021,0.8
4,1,0.004,9,0.8034,0.6
4,1,0.004,10,0.7781,0.8
4,1,0.004,11,0.8059,0.8
4,1,0.004,12,0.8265,0.6
4,1,0.004,13,0.8376,1.0
4,1,0.004,14,0.8668,0.6
5,1,0.004,1,0.0996,0.8
5,1,0.004,2,0.3099,0.6
5,1,0.004,3,0.5541,0.6
5,1,0.004,4,0.6618,1.0
5,1,0.004,5,0.6972,0.8
5,1,0.004,6,0.7981,0.4
5,1,0.004,7,0.8121,0.6
5,1,0.004,8,0.8027,0.8
5,1,0.004,9,0.8458,0.6
5,1,0.004,10,0.8225,0.6
5,1,0.004,11,0.8181,0.6
5,1,0.004,12,0.8238,0.4
5,1,0.004,13,0.8217,0.6
5,1,0.004,14,0.8183,0.8
1,1,0.006,1,0.1079,1.0
1,1,0.006,2,0.1613,0.8
1,1,0.006,3,0.5163,0.8
1,1,0.006,4,0.7756,1.0
1,1,0.006,5,0.8002,1.0
1,1,0.006,6,0.827,1.0
1,1,0.006,7,0.8157,1.0
1,1,0.006,8,0.8737,1.0
1,1,0.006,9,0.8766,0.8
1,1,0.006,10,0.8637,0.8
